Order ID,Order Date,Region,Category,Product Name,Sales
CA-2017-152156,08-11-2017,South,Furniture,Bush Somerset Collection Bookcase,261.96
CA-2017-152156,08-11-2017,South,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
CA-2017-138688,12-06-2017,West,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62
US-2016-108966,11-10-2016,South,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775
US-2016-108966,11-10-2016,South,Office Supplies,Eldon Fold 'N Roll Cart System,22.368
CA-2015-115812,09-06-2015,West,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
CA-2015-115812,09-06-2015,West,Office Supplies,Newell 322,7.28
CA-2015-115812,09-06-2015,West,Technology,Mitel 5320 IP Phone VoIP phone,907.152
CA-2015-115812,09-06-2015,West,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504
CA-2015-115812,09-06-2015,West,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9
CA-2015-115812,09-06-2015,West,Furniture,Chromcraft Rectangular Conference Tables,1706.184
CA-2015-115812,09-06-2015,West,Technology,Konftel 250 Conference phone - Charcoal black,911.424
CA-2018-114412,15-04-2018,South,Office Supplies,Xerox 1967,15.552
CA-2017-161389,05-12-2017,West,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976
US-2016-118983,22-11-2016,Central,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
US-2016-118983,22-11-2016,Central,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544
CA-2015-105893,11-11-2015,Central,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
CA-2015-167164,13-05-2015,West,Office Supplies,Fellowes Super Stor/Drawer,55.5
CA-2015-143336,27-08-2015,West,Office Supplies,Newell 341,8.56
CA-2015-143336,27-08-2015,West,Technology,Cisco SPA 501G IP Phone,213.48
